"ID","count","mediansTime","mediansEvent_length","mediansY89Di","mediansPd102Di","mediansRh103Di","mediansPd104Di","mediansPd105Di","mediansPd106Di","mediansPd108Di","mediansPd110Di","mediansIn113Di","mediansCd114Di","mediansIn115Di","mediansI127Di","mediansXe131Di","mediansLa139Di","mediansCe140Di","mediansPr141Di","mediansNd142Di","mediansNd143Di","mediansNd144Di","mediansNd145Di","mediansNd146Di","mediansSm147Di","mediansNd148Di","mediansSm149Di","mediansNd150Di","mediansEu151Di","mediansSm152Di","mediansEu153Di","mediansSm154Di","mediansGd155Di","mediansGd156Di","mediansGd157Di","mediansGd158Di","mediansTb159Di","mediansGd160Di","mediansDy161Di","mediansDy162Di","mediansDy163Di","mediansDy164Di","mediansHo165Di","mediansEr166Di","mediansEr167Di","mediansEr168Di","mediansTm169Di","mediansEr170Di","mediansYb171Di","mediansYb172Di","mediansYb173Di","mediansYb174Di","mediansLu175Di","mediansYb176Di","mediansHf177Di","mediansIr191Di","mediansIr193Di","mediansPt194Di","mediansPt195Di","mediansPt196Di","mediansPt198Di","mediansBi209Di","medianstSNE1_clust","medianstSNE2_clust","mediansdensity","raw_mediansTime","raw_mediansEvent_length","raw_mediansY89Di","raw_mediansPd102Di","raw_mediansRh103Di","raw_mediansPd104Di","raw_mediansPd105Di","raw_mediansPd106Di","raw_mediansPd108Di","raw_mediansPd110Di","raw_mediansIn113Di","raw_mediansCd114Di","raw_mediansIn115Di","raw_mediansI127Di","raw_mediansXe131Di","raw_mediansLa139Di","raw_mediansCe140Di","raw_mediansPr141Di","raw_mediansNd142Di","raw_mediansNd143Di","raw_mediansNd144Di","raw_mediansNd145Di","raw_mediansNd146Di","raw_mediansSm147Di","raw_mediansNd148Di","raw_mediansSm149Di","raw_mediansNd150Di","raw_mediansEu151Di","raw_mediansSm152Di","raw_mediansEu153Di","raw_mediansSm154Di","raw_mediansGd155Di","raw_mediansGd156Di","raw_mediansGd157Di","raw_mediansGd158Di","raw_mediansTb159Di","raw_mediansGd160Di","raw_mediansDy161Di","raw_mediansDy162Di","raw_mediansDy163Di","raw_mediansDy164Di","raw_mediansHo165Di","raw_mediansEr166Di","raw_mediansEr167Di","raw_mediansEr168Di","raw_mediansTm169Di","raw_mediansEr170Di","raw_mediansYb171Di","raw_mediansYb172Di","raw_mediansYb173Di","raw_mediansYb174Di","raw_mediansLu175Di","raw_mediansYb176Di","raw_mediansHf177Di","raw_mediansIr191Di","raw_mediansIr193Di","raw_mediansPt194Di","raw_mediansPt195Di","raw_mediansPt196Di","raw_mediansPt198Di","raw_mediansBi209Di","raw_medianstSNE1_clust","raw_medianstSNE2_clust","raw_mediansdensity","cvsTime","cvsEvent_length","cvsY89Di","cvsPd102Di","cvsRh103Di","cvsPd104Di","cvsPd105Di","cvsPd106Di","cvsPd108Di","cvsPd110Di","cvsIn113Di","cvsCd114Di","cvsIn115Di","cvsI127Di","cvsXe131Di","cvsLa139Di","cvsCe140Di","cvsPr141Di","cvsNd142Di","cvsNd143Di","cvsNd144Di","cvsNd145Di","cvsNd146Di","cvsSm147Di","cvsNd148Di","cvsSm149Di","cvsNd150Di","cvsEu151Di","cvsSm152Di","cvsEu153Di","cvsSm154Di","cvsGd155Di","cvsGd156Di","cvsGd157Di","cvsGd158Di","cvsTb159Di","cvsGd160Di","cvsDy161Di","cvsDy162Di","cvsDy163Di","cvsDy164Di","cvsHo165Di","cvsEr166Di","cvsEr167Di","cvsEr168Di","cvsTm169Di","cvsEr170Di","cvsYb171Di","cvsYb172Di","cvsYb173Di","cvsYb174Di","cvsLu175Di","cvsYb176Di","cvsHf177Di","cvsIr191Di","cvsIr193Di","cvsPt194Di","cvsPt195Di","cvsPt196Di","cvsPt198Di","cvsBi209Di","cvstSNE1_clust","cvstSNE2_clust","cvsdensity","percenttotal"
32,103,613183.4375,40.1413383483887,4.4248436467249,0,0.126912861034598,0,0.595704551512908,0,0,0,0,0,0,0,0,0,0,0.43064675646533,0,0.114367708553357,0,2.88332049774818,0.269862228799709,1.33146090713961,0.0520240147875932,2.14810105763855,0.291143583849648,0,0.0470831045396193,0,3.8350737921412,0.349325626320981,1.63717415081508,0,0,1.7348434569127,0.235214668475035,2.07860802825947,0.217893853213213,0.222963977880237,2.31905299728543,0.612078849385375,0,1.10761148813804,0.0405390527688034,1.91539419406557,1.82347400279193,1.50191090303152,0.648279445443526,3.61969382659679,1.26593555343052,0.194487231917393,2.6707714068603,0,4.88441357951463,5.54826301382337,2.16927741828025,0,0,0,0,5.30528545379639,-7.48484563827515,29,613183.4375,40.1413383483887,208.719436645508,0,0.636269152164459,0,3.15783667564392,0,0,0,0,0,0,0,0,0,0,2.22040891647339,0,0.573085963726044,0,44.5439376831055,1.36574828624725,8.80620002746582,0.26023742556572,21.1296653747559,1.4763708114624,0,0.235502511262894,0,115.688110351562,1.78236854076385,12.3652334213257,0,0,13.7290315628052,1.18694794178009,19.6705760955811,1.09811067581177,1.12407970428467,25.169189453125,3.25509715080261,0,6.74193096160889,0.202750787138939,16.605827331543,15.0796823501587,10.6688928604126,3.47325778007507,93.2483673095703,8.16108417510986,0.978578209877014,35.9547843933105,0,330.513366699219,641.968078613281,21.5942440032959,0,0,0,0,5.30528545379639,-7.48484563827515,29,55.7688793722329,18.0858677700017,6.73395165920905,1000.49557607725,122.324670024356,616.496222704647,59.9087986209169,203.237984440206,470.109337104818,282.686321138528,322.95563578053,215.506496746274,521.678016750049,168.74409107887,237.96485235692,457.002050424499,428.999074780177,94.2035903365829,230.915674402411,136.492887295379,149.462397214502,10.2691460333487,82.320163715535,28.883357742181,134.08435875574,30.1921026576472,120.1511042186,171.994612589934,201.412655093187,175.801835061708,9.95378855710834,117.957743540413,34.252117089634,168.791624675268,218.392478617953,54.6305938262082,102.430280307226,20.7689219754855,129.492371763814,115.348284951148,22.6640691157202,77.3795715645852,179.874221932573,48.0880224536915,164.189352910278,39.3222436774322,71.0549606462655,36.9887699140119,78.8171289911825,13.3798006189863,53.8459544918245,124.694299615327,32.2745594657291,147.109012639247,1.72279153991073,1.84248424341303,29.6840802577534,157.262229532565,188.150233266292,204.579364531768,299.044129088162,7.16616354595005,7.48963282513744,45.3288527944831,2.81497676960918
33,83,647105.875,38.4687805175781,4.46108957561048,0,0.12938126159816,0,0.462946472732862,0,0,0,0,0,0,0,0,0,0,0.219989314882902,0,0.225361930372232,0,2.81324676722059,0.185052645782243,1.31003099620478,0.157481219615056,2.57044871503762,0.314764767005916,0,2.66192118063841,0.363344697496545,3.65610184044187,0.121644168735843,1.62589740544039,0,0,0.892028364986937,0.161985719629782,2.10063546476771,0.128770816701666,0.117712408217275,2.03972095053327,0.645825512458561,0,1.27002312671442,0.183906985020303,1.8569414842187,0.761559410221819,1.55253547682025,0.400429944584648,3.07315850275051,0.955219702166572,0.117894049201208,2.19747764660402,0,4.87099983460603,5.50625223179676,2.20949896883898,0,0,0,0,-0.0276265516877174,-10.0430364608765,46,647105.875,38.4687805175781,216.42561340332,0,0.648712635040283,0,2.39830493927002,0,0,0,0,0,0,0,0,0,0,1.10884010791779,0,1.1363719701767,0,41.5098114013672,0.930553138256073,8.5911922454834,0.790664792060852,32.4879684448242,1.59994113445282,0,35.6349182128906,1.85696196556091,96.7107925415039,0.609721958637238,12.2156085968018,0,0,5.07562589645386,0.813475251197815,20.1224555969238,0.645634949207306,0.589922189712524,18.89599609375,3.45832872390747,0,8.20027446746826,0.924727082252502,15.6199254989624,4.1866888999939,11.2793016433716,2.05608582496643,53.9094390869141,5.53628492355347,0.590836703777313,22.2279872894287,0,326.109039306641,615.556335449219,22.5034866333008,0,0,0,0,-0.0276265516877174,-10.0430364608765,46,55.7829713976289,22.8809075423394,6.87096185032358,645.473650445054,132.331741598496,871.122587853439,63.896366730237,186.071363191977,594.790392523003,374.920160565554,290.260874948702,344.180565116843,NA,193.551078959687,250.997769178124,291.882692137409,236.036247401474,112.424848068031,167.21581341097,134.730055508908,159.071946002733,8.93771752491132,105.746896324547,31.9994334775722,104.050177684978,37.9816519577004,125.200790689756,147.223728128673,68.2384064049648,130.369303234465,11.6184501931646,147.107054591007,36.0291214683162,167.712306715698,233.360731419185,83.1790040513706,110.004590625001,21.810369044358,146.999837991949,125.617391668464,34.3661345075566,72.9801452337095,183.285250525319,58.4171908588623,105.939533024431,48.1436084976272,102.679538548288,36.9350206473684,125.918520329966,29.395254396163,84.9870911063504,183.168565014113,40.9705687505289,192.728437884974,1.66089639117766,1.58465327774168,33.9574063633678,178.901228924888,198.682951181207,247.373998758946,322.105647684408,381.841759951448,8.48764733456957,62.5191267501573,2.26837933861711
34,64,679138.28125,38.4687805175781,4.29491082993104,0,0.0180234475869936,0,0.579095484303862,0,0,0,0,0,0,0,0,0,0,0,0,0.337744392518742,0.150439703950945,2.84059506702283,0.228875154477822,1.200796969832,0,0.244725770229541,0.0232174316895935,0,0.0945086443586989,2.93963970124049,4.19521495902454,3.44306681166657,1.57225834474047,0.0489511895563247,0,3.01582266148201,0.376583165457408,1.56945410115636,0.179183543244004,0.53981626934862,2.28369958049704,0.419087611474551,0,0.800722560831979,0.0542356377253213,0.69020913181208,1.86116046543581,1.33570978335366,0.534613478939397,3.51211126602167,1.07157228273286,0.244841047829799,1.68799957555061,0,4.88630389380913,5.52889022566778,2.08042024441456,0,0,0,0,3.45543301105499,-1.99853122234344,11,679138.28125,38.4687805175781,183.280784606934,0,0.0901225656270981,0,3.06020057201385,0,0,0,0,0,0,0,0,0,0,0,0,1.72126549482346,0.755039989948273,42.6690311431885,1.15439862012863,7.55454587936401,0,1.23617285490036,0.116117054596543,0,0.47324700653553,47.1655464172363,165.885589599609,78.1611289978027,11.5248980522156,0.244854629039764,0,50.8921642303467,1.92785394191742,11.4939398765564,0.90072226524353,2.83212220668793,24.2777109146118,2.15731763839722,0,4.44563245773315,0.271316468715668,3.7318629026413,15.7029566764832,8.84976148605347,2.80234050750732,83.7659187316895,6.44458293914795,1.23647940158844,13.0657892227173,0,331.13899230957,629.650726318359,19.7073907852173,0,0,0,0,3.45543301105499,-1.99853122234344,11,54.0190008649307,18.9569911480562,6.83671595829447,592.567480633983,144.734451173485,683.748144927377,51.3771497180866,273.893983657328,321.633035782462,306.196295744145,364.650803736242,244.662996519941,800,154.138697415676,331.683809417355,396.067004125229,276.821500504337,196.192568830028,164.76077524308,113.191812913776,112.089959276205,10.295934231511,90.3133960580158,37.0235462156504,181.078974091342,101.917837616038,138.514216247856,170.792706408433,105.000305329975,29.6989811296691,8.82037195345747,15.853725633733,26.5819273352385,137.395810274805,209.948544575772,24.2308585813599,94.4008571515981,32.1846744932739,136.803435094772,77.9590154406661,24.008129799848,89.4673934011763,181.006695885954,66.322816072087,128.270550242551,84.8097790006417,50.873094044148,39.3724272007919,87.650663343701,18.3363417554569,70.4558020232975,113.708895348274,46.4064978831868,156.387531240317,1.62745724898534,1.67451093753889,39.3354849596534,185.558815708747,211.89672062714,221.410888218522,229.015631093228,19.5570680975964,22.7395038223958,33.406583363318,1.74911177917464
35,29,624470.75,40.1413383483887,4.07231780315603,0,0.198117003741599,0,0.431526606033303,0,0,0,0,0,0,0,0,0,0,0,0,0.321339510183714,0,2.70324885186612,0.271645151322074,0.832005592274531,0,0.0977927474686495,0,0,0.0472707099633089,0,3.95572218774893,3.19651520191058,1.50137567579685,0,0,1.65059045325253,0.223723697230747,1.62309531234507,0.142966904980699,0.16515402257261,1.84156440624793,0.46343912750121,0,0.741190835283551,0,0.530286390499749,1.35479665050632,1.27773477279008,0.275460491547676,0.737932756958706,0.0615814964103609,0.0596844133547272,0.766716129929156,0,4.8968562810258,5.57276212378395,2.0340516044133,0,0,0,0,-2.62117266654968,-4.5395655632019,16,624470.75,40.1413383483887,146.689514160156,0,0.997077882289886,0,2.22522330284119,0,0,0,0,0,0,0,0,0,0,0,0,1.63449168205261,0,37.1529121398926,1.37499165534973,4.65686798095703,0,0.48974347114563,0,0,0.23644158244133,0,130.53564453125,61.0157089233398,10.6625881195068,0,0,12.5452966690063,1.12797343730927,12.1786708831787,0.717272162437439,0.829529166221619,15.3695678710938,2.40103721618652,0,4.05471706390381,0,2.77745628356934,9.04493236541748,8.27458477020264,1.39478659629822,4.03376483917236,0.308102130889893,0.298599272966385,4.22037363052368,0,334.652008056641,657.890441894531,18.7854843139648,0,0,0,0,-2.62117266654968,-4.5395655632019,16,37.717091374092,19.4612244189511,7.3340033601377,538.51648071345,116.461996731612,538.51648071345,77.8106987542508,209.811616868466,402.884289735533,305.490564945974,495.219945238638,252.24366770696,417.877437906405,145.12128725992,306.633158763368,324.209909796474,240.263854594354,229.432842872825,146.862537456706,97.9873175956234,152.341114364084,12.4136049945832,86.8590552835888,54.8659872776954,218.95734284799,156.455855240613,178.483888116204,325.133364967007,160.551932106142,191.030155092966,9.25565067649304,27.5754620086444,38.6776341303219,167.26434529683,201.042725512254,58.4565755518232,101.92199065403,38.1815905287831,131.643782667402,123.0692228407,30.5077915586992,100.124540117691,214.021358872374,60.047583741958,200.783869316191,98.440563609226,86.4405088557057,54.9733858649945,115.188841206864,102.419486093121,141.563035487739,139.917240652973,84.9254907828171,208.429531512013,1.3284223130227,1.28086040509476,45.6390933679523,160.653276420907,204.977573160357,235.752504652665,256.816051635642,15.2647391830323,9.24195858486455,54.0152241506734,0.792566274938508
36,11,559120.1875,33.451114654541,3.94035920208326,0,0.441682109718496,0,0.534151839243131,0,0,0,0,0,0,0,0,0,0,0,0,2.15094130430243,0.115693203120874,2.72611933490607,0.263269275993595,0.80841830139797,0,0.0662524143279685,0,0,0.155605001617308,3.79439418584426,4.33617921016408,3.60288606641085,1.42025459467831,0.125698649384118,0,3.87321593244214,0.155159198858513,0.219011441896139,0,0.00838381884890152,0.0559140279190176,0.0887301665429736,0,0.948809316681346,0.263258424695517,1.65387940012208,3.88391186431329,1.17315828630942,1.82707029277916,3.13755284901258,0.913969644704957,0,1.39173646473066,0,4.91809624614434,5.58272707130353,1.66436392069531,0,0,0,0,1.86366093158722,5.18871688842773,2,559120.1875,33.451114654541,128.544082641602,0,2.28091812133789,0,2.79958605766296,0,0,0,0,0,0,0,0,0,0,0,0,21.1914215087891,0.579757332801819,38.0200691223145,1.33160531520844,4.49698257446289,0,0.331504464149475,0,0,0.781168520450592,111.072006225586,191.004821777344,91.6919174194336,9.74130344390869,0.630149602890015,0,120.190055847168,0.778912544250488,1.10383248329163,0,0.0419195853173733,0.279715836048126,0.44423320889473,0,5.48857736587524,1.33154916763306,12.5897817611694,121.483612060547,7.30699110031128,15.1369142532349,57.5100212097168,5.2331862449646,0,9.43296146392822,0,341.836822509766,664.479248046875,12.7325029373169,0,0,0,0,1.86366093158722,5.18871688842773,2,54.8769439226372,15.1337492380722,10.7989141267886,NA,77.1595312575065,NA,51.5072015725511,225.621206500471,331.66247903554,276.31360318752,NA,205.205585235517,331.66247903554,130.972972719444,222.30549750056,NA,258.810584216094,223.634305659633,148.12830251362,25.1370841881063,167.397742198032,11.7116013845455,56.8123632130508,48.5414780057908,224.173916834484,130.247269646327,223.510627076081,176.994056687463,84.7857362822686,10.3133992102655,8.69068566272093,9.11372833455689,30.4546936490676,111.300612900236,331.66247903554,14.4114081177765,90.7824354115366,80.4107648717268,187.99571938049,155.627166984817,160.46114442647,121.804666945023,155.572423421588,40.9483846140009,86.5061109418453,40.3429189751077,12.6545779437394,38.0271798302841,53.8337489459237,12.6194100788749,52.3250714228603,150.265691847918,43.5263689234344,178.053405587211,2.37671750684773,2.33480280507297,55.2362829134704,307.049681773928,305.739401182874,185.408186789459,258.85472848715,23.933831489693,12.1054900979533,36.7006645104718,0.300628587045641
37,16,482059.203125,35.1236724853516,4.26691740872412,0,0.272197105328124,0,0.319810834506613,0,0,0,0,0,0,0.0335517737326687,0,0,0,0,0,2.83292928912257,0.818346366583917,2.96157865598626,0.32965693089464,0.996715053334249,0,0.0446179138153538,0,0.0415376501936383,0.206110856216471,4.04735820367744,4.63077637349867,3.91513631108607,1.63992530817885,0.00935773907008004,0,4.09838798627439,0.0858464804741435,0.0306034965786831,0.13727646153955,0,0,0.143339812950271,0.0653930861237293,0.902781977366515,0.162852221791946,0.0918870197739924,3.76407498802216,1.26641839363341,1.69163424637644,3.14769783226532,0.473107486044887,0.218705389566503,1.76378733727273,0,4.85651856189426,5.54996521333802,2.01341506527921,0,0,0,0,-4.72520279884338,7.30425047874451,4,482059.203125,35.1236724853516,178.315185546875,0,1.37794327735901,0,1.62833625078201,0,0,0,0,0,0,0.167884796857834,0,0,0,0,0,42.3416767120361,4.59606862068176,48.1998462677002,1.67844957113266,5.85077118873596,0,0.223175153136253,0,0.207927227020264,1.03821051120758,143.071632385254,256.479560852051,125.379245758057,12.5077519416809,0.0467914268374443,0,150.610038757324,0.429760724306107,0.153073681518435,0.688543111085892,0,0,0.719186425209045,0.327898353338242,5.15325498580933,0.818887680768967,0.46012869477272,107.790828704834,8.17779183387756,13.1970548629761,58.1090812683105,2.45545029640198,1.10235059261322,14.1579132080078,0,321.421569824219,643.06494140625,18.3909311294556,0,0,0,0,-4.72520279884338,7.30425047874451,4,63.1394487015664,19.6568406624564,6.00009460891653,NA,121.576109884674,333.399889299064,75.5430128961723,154.705940950535,NA,260.230696905397,300.464689046296,290.858341844221,NA,135.571912846495,400,400,400,230.258198574736,175.223612295982,17.0043374722023,75.3061859945202,8.98927653659935,73.8735095710719,45.3989876841187,273.96564139291,132.100830110955,241.929280075136,127.125650529468,85.2063070624564,12.9012162195341,4.82994629792581,6.99672755925459,39.6536855336617,155.073929532728,291.672002630138,6.61088290650539,110.171902055502,155.806952099497,137.721775198066,152.965419692082,252.290683590355,108.243599170894,125.578449023394,43.894176468999,122.847450812679,116.539098511476,16.8539957362993,40.1636270095032,29.7288395361057,17.0956260521468,71.5089665346542,106.590431750762,24.4087312228594,141.755507132459,1.40810036726122,1.34426876831821,28.2319527072518,158.496205695564,199.631560987584,400,255.875671837086,14.1707611442609,9.52029226606328,33.4790330029216,0.437277944793659
